Dummy,Locality,Assemblage name,GeoLayer,ArchLayer,Laboratory,Analysis number,Age,Pos. standard deviation,Neg. standard deviation,Dating method,Material dated,Date of analysis,Comments
,Krapina,Krapina Layer 1-9 human remains 405,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 405,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 405,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 405,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 405,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 405,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 405,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 405,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 405,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 406,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 406,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 406,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 406,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 406,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 406,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 406,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 406,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 406,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 407,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 407,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 407,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 407,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 407,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 407,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 407,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 407,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 407,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 408,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 408,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 408,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 408,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 408,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 408,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 408,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 408,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 408,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 409,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 409,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 409,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 409,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 409,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 409,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 409,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 409,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 409,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 410,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 410,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 410,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 410,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 410,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 410,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 410,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 410,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 410,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 411,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 411,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 411,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 411,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 411,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 411,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 411,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 411,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 411,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 412,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 412,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 412,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 412,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 412,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 412,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 412,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 412,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 412,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 413,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 413,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 413,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 413,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 413,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 413,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 413,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 413,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 413,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 414,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 414,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 414,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 414,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 414,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 414,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 414,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 414,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 414,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 415,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 415,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 415,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 415,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 415,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 415,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 415,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 415,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 415,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 416,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 416,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 416,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 416,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 416,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 416,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 416,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 416,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 416,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 417,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 417,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 417,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 417,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 417,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 417,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 417,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 417,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 417,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 4 human remains 418,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 419,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 419,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 419,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 419,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 419,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 419,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 419,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 419,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 419,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 420,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 420,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 420,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 420,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 420,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 420,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 420,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 420,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 420,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 421,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 421,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 421,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 421,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 421,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 421,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 421,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 421,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 421,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 422,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 422,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 422,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 422,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 422,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 422,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 422,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 422,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 422,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 423,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 423,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 423,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 423,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 423,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 423,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 423,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 423,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 423,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 424,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 424,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 424,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 424,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 424,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 424,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 424,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 424,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 424,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 425,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 425,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 425,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 425,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 425,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 425,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 425,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 425,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 425,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 3 human remains 426,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 427,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 427,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 427,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 427,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 427,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 427,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 427,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 427,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 427,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 428,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 428,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 428,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 428,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 428,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 428,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 428,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 428,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 428,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 429,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 429,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 429,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 429,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 429,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 429,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 429,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 429,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 429,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 430,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 430,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 430,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 430,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 430,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 430,Complex II Unit c6,Complex II Layer c6,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 430,Complex II Unit c7,Complex II Layer c7,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 430,Complex II Unit c8,Complex II Layer c8,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 430,Complex II Unit c9,Complex II Layer c9,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 3 human remains 431,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 432,Complex II Unit c1,Complex II Layer c1,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 432,Complex II Unit c2,Complex II Layer c2,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 432,Complex II Unit c3,Complex II Layer c3,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 432,Complex II Unit c4,Complex II Layer c4,-,-,-,-,-,-,-,-,-
,Krapina,Krapina Layer 1-9 human remains 432,Complex II Unit c5,Complex II Layer c5,-,-,-,-,-,-,-,-,-
